SeniorCitizen,tenure,MonthlyCharges,TotalCharges,gender_Male,Partner_Yes,Dependents_Yes,PhoneService_Yes,MultipleLines_No phone service,MultipleLines_Yes,InternetService_Fiber optic,InternetService_No,OnlineSecurity_No internet service,OnlineSecurity_Yes,OnlineBackup_No internet service,OnlineBackup_Yes,DeviceProtection_No internet service,DeviceProtection_Yes,TechSupport_No internet service,TechSupport_Yes,StreamingTV_No internet service,StreamingTV_Yes,StreamingMovies_No internet service,StreamingMovies_Yes,Contract_One year,Contract_Two year,PaperlessBilling_Yes,PaymentMethod_Credit card (automatic),PaymentMethod_Electronic check,PaymentMethod_Mailed check
-0.43991649313097614,0.10704778280226633,-0.5172074769706297,-0.25735388660699204,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0
-0.43991649313097614,-0.7073594915983407,0.3436033691154218,-0.4999683333763957,1,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
-0.43991649313097614,-0.7888002190384014,-0.8046983579993692,-0.7474782907059526,1,1,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1
-0.43991649313097614,-0.2594354906780068,0.29042586511010604,-0.1673602893277759,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,1,1,1,0,0
-0.43991649313097614,-1.2774445836787656,-0.6717545979860794,-0.9881962784295308,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
-0.43991649313097614,1.369379058123207,0.4898415051300408,1.2838278140171533,1,0,1,1,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1,1,1,0,0
-0.43991649313097614,-1.2774445836787656,-1.4943441130683104,-0.9991119438677107,0,0,0,1,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,1,0,0
-0.43991649313097614,0.3106496014024181,-0.27126152094604356,0.041426620507955064,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
-0.43991649313097614,1.3286586944031769,-0.16490651293541178,0.6717125792030189,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,1,0,0
-0.43991649313097614,1.125056875803025,0.5247392421335293,1.1298838535647622,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,1,1,0,0,1,0,0
2.273158691738958,-1.1145631287986442,-0.1615829189350795,-0.8808919793948176,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0
-0.43991649313097614,-1.1145631287986442,-0.5105602889699654,-0.9052813247981041,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
-0.43991649313097614,-1.2367242199587352,-0.4590445819648154,-0.9535748749185362,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
-0.43991649313097614,-0.0965540357978854,0.09433381909050333,-0.12568229401836192,1,1,1,1,0,1,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0
-0.43991649313097614,0.14776814652229667,1.0182929511828682,0.524406225411016,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0
-0.43991649313097614,0.9214550572028734,0.142525932095321,0.6868842515696204,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0
-0.43991649313097614,-0.055833672077855064,0.6643301901474837,0.14476158665605776,0,0,0,1,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0
2.273158691738958,-0.1779947632379461,-0.9592454790148186,-0.5784288134350701,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0
